id,Tertarik
1,0
2,0
4,0
6,0
9,0
11,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
26,0
28,0
29,0
32,0
33,1
34,0
35,1
38,0
39,0
41,0
46,0
48,0
49,0
50,0
51,0
52,0
54,0
55,0
57,0
58,0
60,0
61,0
63,0
64,0
65,0
66,0
69,0
71,0
72,0
74,0
75,1
76,0
77,0
78,0
80,1
81,0
83,0
87,0
89,0
90,1
91,0
92,1
93,0
94,0
102,0
103,0
105,0
107,0
109,0
110,1
111,0
112,0
114,0
115,0
116,1
117,0
118,0
120,0
121,1
122,0
123,0
124,0
127,1
129,0
130,0
133,0
134,0
135,0
137,0
139,0
140,1
141,0
144,0
145,1
147,0
151,0
153,0
154,0
157,0
159,0
160,0
162,0
168,0
169,0
171,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
183,0
185,0
186,0
187,0
189,0
192,0
194,0
198,0
199,0
200,0
201,0
206,0
207,0
209,0
214,0
217,0
218,0
220,0
223,0
224,0
225,0
226,0
228,0
229,0
231,1
234,0
235,1
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
249,0
250,0
251,0
252,0
254,0
260,0
262,0
263,0
264,0
267,0
269,0
271,0
272,0
273,0
274,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
286,1
287,0
288,0
290,0
291,0
293,0
294,0
295,0
298,0
299,0
300,0
301,0
303,0
305,1
307,0
308,0
309,0
310,0
311,1
313,0
314,0
315,0
316,1
318,0
322,0
325,0
327,1
328,0
329,0
330,0
332,1
333,0
334,0
335,1
336,0
337,0
340,0
343,0
344,0
345,0
347,0
349,0
350,0
351,0
353,0
354,1
355,0
356,0
358,0
359,0
361,0
364,0
365,1
366,0
367,0
368,0
370,0
371,0
372,0
376,0
378,0
379,0
380,0
382,0
384,0
385,0
387,0
388,1
389,0
390,0
391,0
392,0
396,0
397,0
399,0
403,0
404,0
406,0
408,1
410,0
411,0
412,0
413,0
414,0
415,0
417,0
418,0
422,0
423,0
426,0
427,0
428,0
429,0
431,1
436,0
437,0
438,0
441,0
442,0
444,0
446,0
448,0
449,0
450,1
451,0
452,0
455,0
456,0
457,0
458,0
459,0
461,0
462,0
